topic,num_reviews,sentiment,Label
0,956,0.7516116108786611,0
1,836,0.7979984449760766,1
2,495,0.7314747474747474,2
3,426,0.7123401408450705,3
4,353,0.7094405099150142,4
5,285,0.7760059649122807,5
6,244,0.5957118852459017,6
7,214,0.6455355140186916,7
8,204,0.7646529411764706,8
9,200,0.5955185000000001,9
10,197,0.6012091370558376,10
11,190,0.7699526315789473,11
12,164,0.7407060975609756,12
13,157,0.8322949044585987,13
14,156,0.8279294871794872,14
15,155,0.8452187096774194,15
16,153,0.7072549019607842,16
17,146,0.6496691780821917,17
18,144,0.5159340277777777,18
19,142,0.41087605633802815,19
20,139,0.6718726618705035,20
21,134,0.5236761194029851,21
22,131,0.7846801526717557,22
23,117,0.9337632478632478,23
24,115,0.7605521739130434,24
25,114,0.819259649122807,25
26,113,0.6786743362831859,26
27,112,0.6484196428571429,27
28,107,0.7841962616822431,28
29,106,0.8106141509433963,29
30,102,0.8113921568627451,30
31,102,0.6895872549019608,31
32,100,0.738887,32
33,98,0.7440122448979593,33
34,98,0.8475785714285715,34
35,97,0.6538175257731959,35
36,97,0.6451340206185567,36
37,95,0.7744757894736841,37
38,94,0.605086170212766,38
39,92,0.7782891304347825,39
40,91,0.6445736263736264,40
41,90,0.7088633333333333,41
42,88,0.6400318181818182,42
43,85,0.8923811764705882,43
44,78,0.7466653846153846,44
45,78,0.6375871794871795,45
46,74,0.23826891891891894,46
47,73,0.7716068493150685,47
48,72,0.7356847222222221,48
49,72,0.7804138888888889,49
50,71,0.6435633802816901,50
51,70,0.7678742857142856,51
52,68,0.49947647058823524,52
53,67,0.6089029850746269,53
54,67,0.6425298507462687,54
55,64,0.6759796875,55
56,62,0.8380274193548387,56
57,61,0.7211967213114755,57
58,59,0.8475813559322034,58
59,58,0.7008189655172414,59
60,58,0.765846551724138,60
61,58,0.6951810344827587,61
62,55,0.17666545454545457,62
63,53,0.7351641509433963,63
64,50,0.61722,64
65,50,0.855478,65
66,49,0.8768265306122449,66
67,49,0.6450938775510204,67
68,49,0.7431448979591836,68
69,48,0.7326437499999999,69
70,47,0.5161425531914894,70
71,47,0.796631914893617,71
72,46,0.7492260869565217,72
73,46,0.7289173913043479,73
74,45,0.6845222222222223,74
75,45,0.8406333333333333,75
76,43,0.7714302325581396,76
